s_adj,age,sex,unit,geo\time	2019M09 	2019M10 	2019M11 	2019M12 	2020M01 	2020M02 	2020M03 	2020M04 	2020M05 	2020M06 	2020M07 	2020M08 
SA,TOTAL,M,PC_ACT,NO	4.2 	4.1 	4.3 	4.2 	4.0 	3.7 	3.7 	4.2 	4.8 	5.6 	: 	: 
SA,TOTAL,M,PC_ACT,PL	2.8 	2.8 	2.7 	2.7 	2.9 	3.0 	2.9 	3.1 	3.2 	3.2 	3.1 	: 
SA,TOTAL,M,PC_ACT,PT	6.0 	5.9 	5.9 	6.2 	6.4 	5.9 	5.5 	5.2 	5.7 	7.1 	7.9 	: 
SA,TOTAL,M,PC_ACT,RO	4.5 	4.4 	4.5 	4.7 	3.8 	4.9 	5.3 	5.4 	5.6 	5.6 	6.1 	: 
SA,TOTAL,M,PC_ACT,SE	6.8 	6.6 	7.2 	6.6 	7.6 	7.2 	6.7 	8.3 	8.1 	9.4 	9.5 	: 
SA,TOTAL,M,PC_ACT,SI	4.6 	4.0 	3.6 	3.2 	3.6 	3.7 	3.8 	4.2 	4.1 	4.2 	4.2 	: 
SA,TOTAL,M,PC_ACT,SK	5.5 	5.5 	5.5 	5.4 	5.8 	5.8 	5.5 	6.0 	6.3 	6.5 	6.7 	: 
SA,TOTAL,M,PC_ACT,UK	4.0 	3.9 	3.8 	3.9 	4.1 	4.1 	4.0 	4.0 	4.0 	: 	: 	: 
SA,TOTAL,M,PC_ACT,US	3.6 	3.6 	3.5 	3.5 	3.6 	3.6 	4.4 	13.5 	12.2 	10.6 	9.8 	: 
SA,TOTAL,T,PC_ACT,AT	4.5 	4.3 	4.2 	4.2 	4.4 	4.4 	4.6 	4.7 	5.5 	5.4 	5.2 	: 
SA,TOTAL,T,PC_ACT,BE	5.2 	5.2 	5.2 	5.2 	5.1 	5.0 	5.1 	5.3 	5.4 	5.5 	5.5 	: 
SA,TOTAL,T,PC_ACT,BG	4.0 	4.2 	4.2 	4.2 	4.5 	4.2 	4.1 	4.8 	4.6 	4.4 	4.4 	: 
SA,TOTAL,T,PC_ACT,CH	4.3 	4.2 	4.1 	4.1 	4.3 	4.3 	4.4 	4.6 	4.8 	4.8 	: 	: 
SA,TOTAL,T,PC_ACT,CY	6.6 	6.6 	6.5 	6.3 	6.3 	6.1 	6.4 	7.7 	8.1 	7.4 	6.9 	: 
SA,TOTAL,T,PC_ACT,CZ	2.1 	2.0 	2.1 	2.0 	2.0 	2.0 	2.1 	2.2 	2.4 	2.7 	2.7 	: 
SA,TOTAL,T,PC_ACT,DE	3.1 	3.1 	3.2 	3.3 	3.4 e	3.6 e	3.8 e	4.0 e	4.2 e	4.3 e	4.4 e	: 
SA,TOTAL,T,PC_ACT,DK	5.2 	5.2 	5.1 	4.9 	4.9 	4.9 	4.8 	4.9 	5.5 	6.0 	6.0 	: 
SA,TOTAL,T,PC_ACT,EA	7.5 	7.4 	7.4 	7.4 	7.4 	7.3 	7.2 	7.4 	7.5 	7.7 	7.9 	: 
