s_adj,age,sex,unit,geo_time,2019M09,2019M10,2019M11,2019M12,2020M01,2020M02,2020M03,2020M04,2020M05,2020M06,2020M07,2020M08
SA,Y_LT25,T,PC_ACT,IS,9.4,9.6,9.9,9.2,9.0,9.1,8.2,10.1,11.3,11.0,9.9,
SA,Y_LT25,T,PC_ACT,IT,28.4,27.6,28.0,28.2,28.7,28.4,27.4,26.0,28.3,29.6,31.1,
SA,Y_LT25,T,PC_ACT,JP,4.6,4.7,3.9,3.2,3.6,4.2,3.8,4.9,5.1,4.0,5.1,
SA,Y_LT25,T,PC_ACT,LT,13.1,14.0,14.5,14.9,15.3,15.6,15.9,19.4,21.2,21.8,23.1,
SA,Y_LT25,T,PC_ACT,LU,16.7,17.6,17.9,18.8,19.3,19.0,21.3,25.6,27.1,27.7,26.0,
SA,Y_LT25,T,PC_ACT,LV,9.8,10.3,10.9,11.8,13.3,13.4,14.6,16.8,17.9,18.0,17.6,
SA,Y_LT25,T,PC_ACT,MT,9.3,9.2,9.7,9.8,11.0,10.8,10.7,9.8,10.8,9.5,9.1,
SA,Y_LT25,T,PC_ACT,NL,7.2,7.3,7.3,6.7,6.4,6.3,6.3,8.4,9.5,10.7,11.0,
SA,Y_LT25,T,PC_ACT,NO,10.2,10.0,10.3,10.1,10.3,10.1,10.0,10.3,11.8,12.8,,
SA,Y_LT25,T,PC_ACT,PL,9.0,8.4,8.0,7.8,8.8,9.5,9.6,10.0,10.1,10.0,9.5,
SA,Y_LT25,T,PC_ACT,PT,18.8,17.7,18.6,18.7,19.5,18.9,18.3,20.6,21.4,27.4,26.3,
SA,Y_LT25,T,PC_ACT,RO,17.5,17.7,17.7,17.7,17.4,17.4,17.4,,,,,
SA,Y_LT25,T,PC_ACT,SE,19.9,19.6,20.1,19.8,20.5,20.1,19.6,25.1,25.9,28.8,28.9,
SA,Y_LT25,T,PC_ACT,SI,8.2,8.3,8.3,8.3,10.3,10.3,10.3,11.2,11.2,11.2,,
SA,Y_LT25,T,PC_ACT,SK,16.9,17.0,16.5,15.9,16.9,16.6,15.7,17.8,17.8,18.1,19.8,
SA,Y_LT25,T,PC_ACT,TR,25.9,25.0,24.0,24.0,22.8,23.4,25.0,26.7,27.0,,,
SA,Y_LT25,T,PC_ACT,UK,11.4,11.0,10.9,11.2,11.4,11.5,11.8,12.4,12.7,,,
SA,Y_LT25,T,PC_ACT,US,8.0,7.9,8.0,8.1,8.2,7.7,10.3,27.4,25.2,20.7,18.6,
