unit,geo\time	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 
PC_ACT,BE32	6.3 	7.7 	8.3 	6.4 b	6.2 	7.1 	9.1 	7.8 	7.3 	7.1 b	5.9 	4.7 
PC_ACT,BE33	4.9 	5.6 	6.3 	5.0 b	5.1 	6.2 	6.3 	7.5 	6.4 	6.5 b	4.6 	3.2 
PC_ACT,BE34	3.2 u	3.2 u	3.2 u	2.7 bu	3.7 u	2.9 u	4.0 	4.3 	2.8 u	2.6 bu	2.9 u	2.1 u
PC_ACT,BE35	5.3 	5.2 	5.0 	4.1 b	3.6 	4.9 	4.1 	6.3 	4.5 	3.7 b	4.5 	3.5 
PC_ACT,BG31	4.3 b	4.3 	6.4 b	8.9 b	8.2 	8.9 	9.7 	9.1 	8.1 	7.4 	8.6 	9.0 
PC_ACT,BG32	5.2 b	4.1 	5.6 b	7.7 b	8.7 	10.1 	8.6 	6.8 	6.1 	4.3 	4.2 	3.0 
PC_ACT,BG33	4.5 b	4.8 	6.5 b	8.1 b	10.0 	9.7 	6.7 	5.5 	5.2 	4.7 	4.1 	2.7 
PC_ACT,BG34	2.6 b	3.0 	4.4 b	5.6 b	5.6 	6.1 	6.9 	5.6 	3.8 	3.6 	2.7 	1.9 
PC_ACT,BG41	1.2 b	1.4 	2.8 b	3.6 b	4.2 	5.3 	5.4 	4.3 	3.2 	1.7 	1.4 	1.1 
PC_ACT,BG42	2.5 b	2.8 	5.7 b	7.8 b	7.7 	8.0 	7.1 	5.5 	3.9 	2.7 	2.0 	1.3 
PC_ACT,CH01	1.7 	2.0 	2.5 b	2.5 	2.5 	2.5 	3.0 	2.9 	3.1 	3.0 	2.8 	3.0 
PC_ACT,CH02	1.0 	0.8 	1.7 b	1.5 	1.3 	1.2 	1.4 	1.6 	1.5 	1.5 	1.7 	1.1 
PC_ACT,CH03	1.1 u	1.4 	1.3 b	1.9 	1.5 	1.5 	1.8 	1.4 	1.4 	1.5 	1.5 	1.1 
PC_ACT,CH04	0.9 	0.7 u	1.3 b	1.3 	1.2 	1.2 	1.4 	1.5 	1.3 	1.3 	1.6 	1.2 
PC_ACT,CH05	0.8 u	1.1 u	1.2 b	1.2 	0.9 	0.9 	1.2 	1.0 	1.5 	1.2 	1.2 	1.1 
PC_ACT,CH06	0.6 u	0.6 u	0.9 bu	0.8 u	0.7 u	0.7 u	1.1 	1.4 	1.3 	0.9 u	0.9 u	1.0 
PC_ACT,CH07	1.7 u	2.3 u	2.2 bu	2.1 u	2.7 u	3.2 	2.9 	4.2 	3.1 	2.3 u	2.7 	2.8 
PC_ACT,CY00	0.5 	0.6 b	1.3 	1.6 	3.5 	6.1 	7.7 	6.8 	5.8 	4.5 	2.7 	2.1 
PC_ACT,CZ01	0.7 	0.8 	0.9 	0.8 b	1.0 	1.1 	0.8 	0.8 	0.8 	0.5 	0.3 u	0.3 u
PC_ACT,CZ02	1.0 	0.9 	1.6 	1.7 b	1.4 	1.8 	1.9 	1.2 	1.0 	0.8 	0.6 	0.3 u
PC_ACT,CZ03	0.9 	0.9 	1.8 	2.0 b	2.3 	2.3 	2.3 	1.8 	1.2 	0.6 	0.5 u	0.5 u
PC_ACT,CZ04	4.8 	3.9 	6.1 	5.1 b	5.8 	4.8 	4.6 	4.3 	2.5 	1.4 	1.1 	1.2 
PC_ACT,CZ05	1.8 	1.7 	2.8 	2.0 b	3.4 	3.3 	2.5 	2.3 	1.5 	0.8 	0.5 	0.4 u
PC_ACT,CZ06	1.9 	2.0 	3.1 	3.0 b	2.9 	2.8 	2.5 	2.2 	1.5 	1.0 	0.7 	0.5 
PC_ACT,CZ07	2.3 	2.4 	3.6 	3.1 b	3.4 	3.7 	3.0 	2.6 	1.5 	1.0 	0.7 	0.7 
PC_ACT,CZ08	4.3 	3.7 	4.5 	4.4 b	4.5 	4.8 	4.2 	4.5 	3.7 	2.0 	1.4 	1.4 
PC_ACT,DE11	1.8 	1.9 	2.0 b	1.5 b	1.2 	1.3 	1.2 	1.0 	0.9 	0.9 	0.8 	0.5 
PC_ACT,DE12	2.1 	2.1 	2.2 b	1.8 b	1.4 	1.3 	1.2 	1.3 	1.0 	0.9 	0.9 	0.8 
PC_ACT,DE13	1.2 	1.3 	1.3 b	1.1 b	0.9 	0.9 	0.9 	0.7 	0.9 	0.9 	0.7 	0.5 
PC_ACT,DE14	1.5 	1.6 	1.7 b	1.1 b	0.9 	0.8 	1.0 	1.0 	0.7 	0.6 	0.5 	: u
PC_ACT,DE21	1.3 	1.3 	1.2 b	0.9 b	0.8 	0.9 	0.8 	0.8 	0.7 	0.6 	0.7 	0.6 
PC_ACT,DE22	1.6 	1.4 	1.4 b	1.2 b	1.1 	1.3 	0.9 	0.9 	0.8 	0.8 	0.8 	: u
PC_ACT,DE23	2.0 	2.0 	1.9 b	1.3 b	1.2 	1.3 	1.1 	1.1 	1.3 	0.9 	0.8 	: u
PC_ACT,DE24	3.0 	2.5 	2.5 b	1.6 b	1.1 	1.4 	1.4 	1.6 	1.1 	1.1 	: u	: u
PC_ACT,DE25	2.4 	2.2 	2.1 b	1.7 b	1.4 	1.0 	1.0 	0.8 	0.8 	0.7 	: u	0.6 
PC_ACT,DE26	1.7 	1.8 	1.8 b	1.3 b	1.2 	1.0 	0.9 	: u	0.8 	: u	: u	: u
PC_ACT,DE27	1.5 	1.5 	1.5 b	1.3 b	1.0 	1.1 	1.1 	0.9 	1.0 	0.9 	0.7 	0.7 
PC_ACT,DE30	9.4 	7.9 	7.3 b	5.8 b	5.3 	5.0 	4.9 	4.7 	3.4 	2.9 	2.6 	2.0 
PC_ACT,DE40	6.8 	6.3 	5.1 b	4.6 b	4.4 	3.9 	3.5 	3.1 	2.2 	2.3 	2.2 	1.6 
PC_ACT,DE50	5.6 	3.8 	3.9 b	2.9 b	2.3 	2.4 	2.4 	2.0 	1.8 	1.7 	1.5 	1.7 
PC_ACT,DE60	3.8 	3.0 	2.9 b	2.4 b	2.3 	2.3 	2.0 	1.9 	1.5 	1.9 	1.9 	1.4 
PC_ACT,DE71	2.8 	2.4 	2.3 b	1.9 b	1.9 	1.5 	1.6 	1.6 	1.5 	1.2 	1.0 	0.9 
PC_ACT,DE72	3.1 	2.4 	2.5 b	1.9 b	2.0 	1.9 	1.7 	1.5 	1.3 	1.4 	1.5 	1.2 
PC_ACT,DE73	3.8 	3.1 	2.6 b	2.0 b	1.7 	1.5 	1.5 	1.4 	1.1 	1.0 	0.8 	1.1 
PC_ACT,DE80	7.9 	7.3 	6.2 b	5.4 b	5.4 	5.4 	5.2 	4.4 	3.0 	2.6 	2.2 	1.8 
PC_ACT,DE91	4.6 	4.1 	3.5 b	2.9 b	2.7 	2.8 	2.4 	2.3 	1.9 	2.1 	1.8 	1.4 
PC_ACT,DE92	4.0 	3.7 	3.6 b	3.3 b	2.5 	2.4 	2.4 	2.1 	2.0 	2.2 	1.9 	1.4 
PC_ACT,DE93	3.4 	2.5 	2.7 b	2.2 b	2.0 	1.9 	1.7 	1.6 	1.3 	1.3 	1.1 	0.9 
PC_ACT,DE94	3.0 	2.5 	2.6 b	1.9 b	1.4 	1.5 	1.7 	1.6 	1.2 	1.2 	0.9 	1.1 
PC_ACT,DEA1	3.9 	3.5 	3.6 b	3.5 b	3.2 	3.1 	3.1 	2.9 	2.2 	2.0 	1.9 	1.6 
PC_ACT,DEA2	3.6 	3.2 	3.3 b	2.9 b	2.4 	2.6 	2.4 	2.1 	1.6 	1.6 	1.6 	1.5 
PC_ACT,DEA3	3.1 	3.1 	3.0 b	2.7 b	2.1 	2.2 	2.0 	1.7 	1.8 	1.6 	1.5 	1.3 
PC_ACT,DEA4	3.7 	3.4 	3.1 b	2.4 b	2.0 	2.0 	2.1 	2.1 	1.6 	1.6 	1.3 	1.4 
PC_ACT,DEA5	4.3 	3.9 	4.1 b	3.6 b	3.3 	2.9 	2.5 	2.5 	2.2 	2.1 	1.9 	1.7 
