s_adj,age,sex,unit,geo\time	2019M09 	2019M10 	2019M11 	2019M12 	2020M01 	2020M02 	2020M03 	2020M04 	2020M05 	2020M06 	2020M07 	2020M08 
SA,TOTAL,F,THS_PER,MT	4 	4 	4 	4 	4 	4 	4 	5 	5 	5 	5 	: 
SA,TOTAL,F,THS_PER,NL	147 	146 	142 	134 	130 	131 	127 	140 	154 	196 	212 	: 
SA,TOTAL,F,THS_PER,NO	47 	46 	48 	47 	45 	44 	45 	53 	59 	65 	: 	: 
SA,TOTAL,F,THS_PER,PL	255 	246 	238 	236 	234 	231 	228 	240 	251 	258 	257 	: 
SA,TOTAL,F,THS_PER,PT	183 	182 	191 	184 	183 	177 	174 	185 	146 	190 	208 	: 
SA,TOTAL,F,THS_PER,RO	132 	123 	123 	122 	140 	130 	141 	177 	171 	190 	171 	: 
SA,TOTAL,F,THS_PER,SE	173 	177 	196 	175 	176 	209 	178 	194 	231 	234 	230 	: 
SA,TOTAL,F,THS_PER,SI	23 	23 	23 	22 	23 	23 	23 	26 	26 	26 	25 	: 
SA,TOTAL,F,THS_PER,SK	74 	73 	72 	71 	78 	80 	78 	86 	85 	85 	87 	: 
SA,TOTAL,F,THS_PER,UK	556 	563 	564 	570 	583 	585 	577 	606 	588 	: 	: 	: 
SA,TOTAL,F,THS_PER,US	2663 	2716 	2715 	2739 	2734 	2672 	3378 	11876 	10791 	8762 	8013 	: 
SA,TOTAL,M,THS_PER,AT	114 	108 	104 	102 	106 	111 	115 	113 	149 	146 	142 	: 
SA,TOTAL,M,THS_PER,BE	148 	153 	155 	157 	143 	137 	139 	148 	153 	159 	160 	: 
SA,TOTAL,M,THS_PER,BG	78 	82 	85 	85 	87 	80 	76 	89 	87 	83 	83 	: 
SA,TOTAL,M,THS_PER,CH	107 	104 	103 	105 	109 	109 	113 	121 	127 	129 	: 	: 
SA,TOTAL,M,THS_PER,CY	13 	14 	14 	13 	15 	15 	15 	18 	19 	18 	18 	: 
SA,TOTAL,M,THS_PER,CZ	56 	52 	59 	52 	56 	51 	55 	58 	64 	75 	70 	: 
SA,TOTAL,M,THS_PER,DE	819 	835 	851 	868 	889 e	916 e	947 e	979 e	1005 e	1024 e	1033 e	: 
SA,TOTAL,M,THS_PER,DK	81 	78 	77 	74 	77 	76 	74 	72 	78 	91 	94 	: 
SA,TOTAL,M,THS_PER,EA	6291 	6226 	6230 	6261 	6190 	6059 	6050 	6230 	6286 	6465 	6601 	: 
SA,TOTAL,M,THS_PER,EA18	6235 	6172 	6175 	6207 	6140 	6007 	5996 	6164 	6215 	6392 	6524 	: 
SA,TOTAL,M,THS_PER,EA19	6291 	6226 	6230 	6261 	6190 	6059 	6050 	6230 	6286 	6465 	6601 	: 
SA,TOTAL,M,THS_PER,EE	13 	14 	15 	17 	18 	19 	19 	22 	24 	32 	: 	: 
SA,TOTAL,M,THS_PER,EL	363 	361 	358 	352 	346 	335 	330 	335 	339 	416 	: 	: 
SA,TOTAL,M,THS_PER,ES	1510 	1515 	1509 	1503 	1510 	1463 	1595 	1687 	1665 	1688 	1685 	: 
SA,TOTAL,M,THS_PER,EU27_2007	7998 	7893 	7912 	7954 	7931 	: 	: 	: 	: 	: 	: 	: 
SA,TOTAL,M,THS_PER,EU27_2020	7345 	7258 	7296 	7306 	7244 	7159 	7150 	7433 	7533 	7769 	7920 	: 
SA,TOTAL,M,THS_PER,EU28	8056 	7950 	7970 	8011 	7989 	: 	: 	: 	: 	: 	: 	: 
SA,TOTAL,M,THS_PER,FI	105 	105 	103 	102 	101 	101 	103 	107 	111 	115 	117 	: 
SA,TOTAL,M,THS_PER,FR	1290 	1279 	1268 	1263 	1218 	1143 	1125 	1214 	1069 	1004 	1045 	: 
SA,TOTAL,M,THS_PER,HR	57 	57 	57 	57 	58 	57 	62 	75 	82 	81 	79 	: 
SA,TOTAL,M,THS_PER,HU	86 	86 	84 	83 	84 	88 	89 	103 	112 	119 	: 	: 
SA,TOTAL,M,THS_PER,IE	67 	64 	64 	66 	69 	68 	68 	64 	62 	61 	63 	64 
SA,TOTAL,M,THS_PER,IS	4 	4 	4 	4 	4 	4 	4 	4 	5 	5 	6 	: 
SA,TOTAL,M,THS_PER,IT	1304 	1244 	1250 	1285 	1244 	1241 	1089 	991 	1114 	1231 	1286 	: 
SA,TOTAL,M,THS_PER,JP	990 	960 	900 	900 	940 	990 	1040 	1110 	1220 	1190 	1140 	: 
SA,TOTAL,M,THS_PER,LT	56 	54 	55 	54 	50 	52 	55 	66 	72 	73 	77 	: 
SA,TOTAL,M,THS_PER,LU	9 	9 	9 	9 	10 	10 	11 	13 	13 	13 	12 	: 
SA,TOTAL,M,THS_PER,LV	31 	30 	31 	36 	39 	39 	40 	46 	49 	51 	51 	: 
SA,TOTAL,M,THS_PER,MT	5 	5 	5 	6 	6 	6 	7 	7 	7 	6 	6 	: 
SA,TOTAL,M,THS_PER,NL	175 	178 	182 	167 	153 	143 	146 	174 	176 	208 	207 	: 
SA,TOTAL,M,THS_PER,NO	64 	63 	65 	63 	61 	56 	56 	63 	72 	84 	: 	: 
SA,TOTAL,M,THS_PER,PL	264 	259 	257 	257 	272 	280 	278 	290 	299 	298 	287 	: 
SA,TOTAL,M,THS_PER,PT	157 	155 	155 	163 	169 	155 	143 	134 	144 	180 	201 	: 
SA,TOTAL,M,THS_PER,RO	235 	227 	238 	245 	198 	256 	273 	276 	288 	284 	313 	: 
