,unit,geo,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
70,PC_ACT,DEB1,2.7,2.9,2.2,1.8,1.7,1.4,1.7,1.0,1.4,1.2,1.0,0.7
71,PC_ACT,DEB2,,,2.0,,,,,,,,,
72,PC_ACT,DEB3,2.6,2.5,2.7,2.1,1.5,1.6,1.4,1.4,1.7,1.3,1.2,1.1
73,PC_ACT,DEC0,3.4,3.4,3.2,3.0,2.5,2.6,2.8,2.9,1.7,1.9,1.7,1.5
74,PC_ACT,DED2,6.9,5.9,4.9,4.6,4.0,3.7,3.3,3.2,2.7,2.1,2.1,1.7
75,PC_ACT,DED4,7.8,7.0,6.4,5.1,4.5,4.1,3.5,3.2,2.3,2.1,1.8,1.8
76,PC_ACT,DED5,8.4,7.3,6.3,6.5,5.3,5.2,5.0,3.8,2.9,2.6,2.3,2.4
77,PC_ACT,DEE0,9.1,7.7,6.3,6.2,5.5,5.3,4.9,4.6,4.4,3.9,3.0,2.5
78,PC_ACT,DEF0,3.3,2.9,3.1,2.5,2.0,2.2,1.7,1.7,1.4,1.3,1.1,1.0
79,PC_ACT,DEG0,6.0,5.0,4.3,4.0,3.5,3.1,2.8,2.7,2.4,2.1,1.9,1.6
80,PC_ACT,DK01,0.5,0.7,1.4,1.7,2.0,1.9,1.9,1.8,1.5,1.4,1.0,0.8
81,PC_ACT,DK02,0.5,,1.2,1.8,1.9,2.1,1.9,1.7,1.4,1.2,1.2,0.8
82,PC_ACT,DK03,0.4,0.5,1.4,2.0,2.4,2.1,1.6,1.5,1.0,1.1,1.0,0.8
83,PC_ACT,DK04,,0.4,1.3,1.5,2.0,1.5,1.4,1.4,1.0,1.0,0.8,0.7
84,PC_ACT,DK05,,0.9,2.1,1.8,1.9,1.2,1.5,1.6,1.3,1.2,1.0,1.0
85,PC_ACT,EE00,1.7,3.7,7.6,7.1,5.5,3.8,3.3,2.4,2.1,1.9,1.3,0.9
86,PC_ACT,EL30,2.9,3.3,5.1,8.7,15.3,19.7,21.1,19.3,16.9,16.7,15.1,12.7
87,PC_ACT,EL41,2.5,3.1,4.6,8.8,14.7,14.9,14.9,12.9,12.3,15.0,15.0,11.5
88,PC_ACT,EL42,1.1,1.7,2.2,3.3,4.4,8.0,8.9,6.5,7.7,6.4,5.5,4.6
89,PC_ACT,EL43,1.8,2.7,4.1,5.1,10.7,14.0,15.2,13.5,12.7,10.0,6.7,5.7
90,PC_ACT,EL51,5.1,5.5,7.8,10.8,14.1,18.4,17.1,16.1,15.8,14.0,10.8,12.0
91,PC_ACT,EL52,4.6,4.7,7.1,10.7,16.5,20.7,21.6,19.3,18.6,16.6,14.0,13.2
92,PC_ACT,EL53,7.3,5.8,7.9,11.7,17.9,20.7,16.5,19.5,20.7,20.7,19.3,17.0
93,PC_ACT,EL54,6.3,6.2,7.5,8.7,11.9,17.2,20.3,17.8,18.8,18.5,15.5,12.2
94,PC_ACT,EL61,4.0,3.5,5.1,7.8,13.1,16.9,18.6,19.7,18.7,15.9,13.0,12.6
95,PC_ACT,EL62,1.7,1.9,3.2,4.2,6.0,8.5,13.0,12.9,8.1,10.1,8.6,5.7
96,PC_ACT,EL63,5.0,4.9,6.1,9.4,16.4,20.6,22.1,21.7,22.5,19.6,17.5,18.2
97,PC_ACT,EL64,4.2,4.4,6.8,11.4,15.9,20.0,19.4,19.7,19.4,15.5,14.0,12.8
98,PC_ACT,EL65,3.7,4.2,5.6,8.0,13.5,15.7,17.2,17.2,14.5,12.3,10.5,9.0
99,PC_ACT,ES11,2.0,3.2,5.5,7.1,9.2,11.1,11.6,10.6,8.9,7.8,5.8,4.6
100,PC_ACT,ES12,2.3,4.0,6.0,7.3,9.6,13.1,11.8,10.5,9.9,6.9,6.2,7.0
