,s_adj,age,sex,unit,geo,2019m09,2019m10,2019m11,2019m12,2020m01,2020m02,2020m03,2020m04,2020m05,2020m06,2020m07,2020m08
86,SA,Y_LT25,T,PC_ACT,EA19,15.6,15.5,15.6,15.5,15.5,15.3,15.4,16.4,16.7,17.2,17.3,
87,SA,Y_LT25,T,PC_ACT,EE,9.3,8.1,9.2,9.3,8.6,9.6,9.9,13.2,17.9,23.2,,
88,SA,Y_LT25,T,PC_ACT,EL,34.9,35.3,34.5,32.4,33.5,34.7,31.7,34.9,38.1,39.3,,
89,SA,Y_LT25,T,PC_ACT,ES,32.2,31.2,30.5,30.3,31.2,31.5,33.9,37.3,38.9,41.6,41.7,
90,SA,Y_LT25,T,PC_ACT,EU27_2007,14.3,14.1,14.1,14.1,14.2,,,,,,,
91,SA,Y_LT25,T,PC_ACT,EU27_2020,15.0,14.8,14.9,14.8,14.9,14.9,14.8,16.0,16.4,16.9,17.0,
92,SA,Y_LT25,T,PC_ACT,EU28,14.3,14.1,14.2,14.1,14.2,,,,,,,
93,SA,Y_LT25,T,PC_ACT,FI,18.4,18.4,18.4,18.5,18.7,19.1,19.4,19.8,20.2,20.5,20.6,
94,SA,Y_LT25,T,PC_ACT,FR,19.3,19.9,20.1,20.2,19.4,18.5,18.8,22.0,20.9,20.3,19.7,
95,SA,Y_LT25,T,PC_ACT,HR,16.4,16.2,16.2,16.2,16.6,16.6,16.6,24.0,24.0,24.0,,
96,SA,Y_LT25,T,PC_ACT,HU,12.3,12.8,12.3,10.9,10.7,11.3,11.9,13.5,15.9,15.2,,
97,SA,Y_LT25,T,PC_ACT,IE,11.8,10.9,10.8,11.2,11.9,12.1,12.7,13.1,14.1,15.7,17.0,17.5
98,SA,Y_LT25,T,PC_ACT,IS,9.4,9.6,9.9,9.2,9.0,9.1,8.2,10.1,11.3,11.0,9.9,
99,SA,Y_LT25,T,PC_ACT,IT,28.4,27.6,28.0,28.2,28.7,28.4,27.4,26.0,28.3,29.6,31.1,
100,SA,Y_LT25,T,PC_ACT,JP,4.6,4.7,3.9,3.2,3.6,4.2,3.8,4.9,5.1,4.0,5.1,
101,SA,Y_LT25,T,PC_ACT,LT,13.1,14.0,14.5,14.9,15.3,15.6,15.9,19.4,21.2,21.8,23.1,
102,SA,Y_LT25,T,PC_ACT,LU,16.7,17.6,17.9,18.8,19.3,19.0,21.3,25.6,27.1,27.7,26.0,
103,SA,Y_LT25,T,PC_ACT,LV,9.8,10.3,10.9,11.8,13.3,13.4,14.6,16.8,17.9,18.0,17.6,
104,SA,Y_LT25,T,PC_ACT,MT,9.3,9.2,9.7,9.8,11.0,10.8,10.7,9.8,10.8,9.5,9.1,
105,SA,Y_LT25,T,PC_ACT,NL,7.2,7.3,7.3,6.7,6.4,6.3,6.3,8.4,9.5,10.7,11.0,
106,SA,Y_LT25,T,PC_ACT,NO,10.2,10.0,10.3,10.1,10.3,10.1,10.0,10.3,11.8,12.8,,
107,SA,Y_LT25,T,PC_ACT,PL,9.0,8.4,8.0,7.8,8.8,9.5,9.6,10.0,10.1,10.0,9.5,
108,SA,Y_LT25,T,PC_ACT,PT,18.8,17.7,18.6,18.7,19.5,18.9,18.3,20.6,21.4,27.4,26.3,
109,SA,Y_LT25,T,PC_ACT,RO,17.5,17.7,17.7,17.7,17.4,17.4,17.4,,,,,
110,SA,Y_LT25,T,PC_ACT,SE,19.9,19.6,20.1,19.8,20.5,20.1,19.6,25.1,25.9,28.8,28.9,
111,SA,Y_LT25,T,PC_ACT,SI,8.2,8.3,8.3,8.3,10.3,10.3,10.3,11.2,11.2,11.2,,
112,SA,Y_LT25,T,PC_ACT,SK,16.9,17.0,16.5,15.9,16.9,16.6,15.7,17.8,17.8,18.1,19.8,
113,SA,Y_LT25,T,PC_ACT,TR,25.9,25.0,24.0,24.0,22.8,23.4,25.0,26.7,27.0,,,
114,SA,Y_LT25,T,PC_ACT,UK,11.4,11.0,10.9,11.2,11.4,11.5,11.8,12.4,12.7,,,
115,SA,Y_LT25,T,PC_ACT,US,8.0,7.9,8.0,8.1,8.2,7.7,10.3,27.4,25.2,20.7,18.6,
