,s_adj,age,sex,unit,geo,2019m09,2019m10,2019m11,2019m12,2020m01,2020m02,2020m03,2020m04,2020m05,2020m06,2020m07,2020m08
34,SA,TOTAL,F,PC_ACT,SE,6.6,6.8,7.4,6.7,6.8,7.9,6.9,7.6,8.9,9.1,8.9,
35,SA,TOTAL,F,PC_ACT,SI,4.9,4.8,4.7,4.6,4.8,4.8,4.8,5.4,5.5,5.5,5.4,
36,SA,TOTAL,F,PC_ACT,SK,5.9,5.9,5.8,5.8,6.4,6.5,6.3,6.9,6.8,6.7,6.9,
37,SA,TOTAL,F,PC_ACT,UK,3.5,3.5,3.5,3.5,3.6,3.6,3.6,3.7,3.6,,,
38,SA,TOTAL,F,PC_ACT,US,3.4,3.5,3.5,3.5,3.5,3.4,4.4,16.2,14.5,11.7,10.6,
39,SA,TOTAL,M,PC_ACT,AT,4.7,4.5,4.3,4.3,4.4,4.6,4.7,4.7,6.1,6.0,5.8,
40,SA,TOTAL,M,PC_ACT,BE,5.5,5.6,5.7,5.8,5.2,5.0,5.1,5.4,5.6,5.9,5.9,
41,SA,TOTAL,M,PC_ACT,BG,4.3,4.5,4.6,4.6,4.9,4.5,4.3,5.0,4.8,4.6,4.6,
42,SA,TOTAL,M,PC_ACT,CH,4.1,4.0,4.0,4.0,4.1,4.1,4.3,4.6,4.9,5.0,,
43,SA,TOTAL,M,PC_ACT,CY,5.7,5.8,5.8,5.5,6.1,6.2,6.4,7.4,7.9,7.5,7.4,
44,SA,TOTAL,M,PC_ACT,CZ,1.9,1.7,2.0,1.7,1.9,1.7,1.8,2.0,2.1,2.5,2.3,
45,SA,TOTAL,M,PC_ACT,DE,3.5,3.6,3.6,3.7,3.8,3.9,4.0,4.1,4.2,4.3,4.3,
46,SA,TOTAL,M,PC_ACT,DK,5.0,4.8,4.8,4.6,4.8,4.7,4.6,4.5,4.9,5.7,5.8,
47,SA,TOTAL,M,PC_ACT,EA,7.2,7.1,7.1,7.1,7.0,6.9,6.9,7.2,7.3,7.5,7.6,
48,SA,TOTAL,M,PC_ACT,EA18,7.2,7.1,7.1,7.1,7.0,6.9,6.9,7.1,7.2,7.5,7.6,
49,SA,TOTAL,M,PC_ACT,EA19,7.2,7.1,7.1,7.1,7.0,6.9,6.9,7.2,7.3,7.5,7.6,
50,SA,TOTAL,M,PC_ACT,EE,3.7,3.9,4.0,4.6,5.0,5.2,5.2,6.0,6.6,8.7,,
51,SA,TOTAL,M,PC_ACT,EL,13.8,13.8,13.7,13.5,13.3,13.0,12.9,13.1,13.4,16.1,,
52,SA,TOTAL,M,PC_ACT,ES,12.3,12.3,12.3,12.2,12.2,11.9,13.1,14.0,14.2,14.6,14.8,
53,SA,TOTAL,M,PC_ACT,EU27_2007,6.1,6.0,6.0,6.0,6.0,,,,,,,
54,SA,TOTAL,M,PC_ACT,EU27_2020,6.4,6.3,6.3,6.3,6.2,6.2,6.2,6.5,6.6,6.8,7.0,
55,SA,TOTAL,M,PC_ACT,EU28,6.0,6.0,6.0,6.0,6.0,,,,,,,
56,SA,TOTAL,M,PC_ACT,FI,7.4,7.3,7.2,7.1,7.0,7.1,7.2,7.5,7.8,8.0,8.2,
57,SA,TOTAL,M,PC_ACT,FR,8.5,8.4,8.3,8.3,7.9,7.5,7.4,8.1,7.3,6.9,7.1,
58,SA,TOTAL,M,PC_ACT,HR,6.0,6.0,6.0,6.0,6.1,6.0,6.5,7.7,8.4,8.3,8.1,
59,SA,TOTAL,M,PC_ACT,HU,3.4,3.4,3.3,3.2,3.3,3.4,3.5,4.0,4.4,4.7,,
60,SA,TOTAL,M,PC_ACT,IE,5.1,4.9,4.8,4.9,5.1,5.1,5.1,5.0,4.9,4.9,5.0,5.1
61,SA,TOTAL,M,PC_ACT,IS,3.6,3.7,3.8,3.7,3.7,3.7,3.4,3.8,4.4,4.6,5.4,
62,SA,TOTAL,M,PC_ACT,IT,8.8,8.4,8.5,8.7,8.5,8.4,7.5,7.0,7.8,8.5,8.9,
63,SA,TOTAL,M,PC_ACT,JP,2.6,2.5,2.3,2.4,2.4,2.6,2.7,2.9,3.2,3.1,3.0,
64,SA,TOTAL,M,PC_ACT,LT,7.7,7.4,7.5,7.4,6.8,7.1,7.3,8.8,9.6,9.9,10.3,
65,SA,TOTAL,M,PC_ACT,LU,5.5,5.5,5.6,5.6,5.7,5.8,6.8,7.7,7.9,7.9,7.4,
66,SA,TOTAL,M,PC_ACT,LV,6.5,6.2,6.5,7.3,8.0,7.9,8.2,9.3,10.0,10.4,10.5,
67,SA,TOTAL,M,PC_ACT,MT,3.3,3.3,3.4,3.5,3.7,3.7,4.1,4.3,4.2,3.9,3.8,
68,SA,TOTAL,M,PC_ACT,NL,3.5,3.6,3.7,3.4,3.1,2.9,2.9,3.6,3.6,4.2,4.2,
69,SA,TOTAL,M,PC_ACT,NO,4.2,4.1,4.3,4.2,4.0,3.7,3.7,4.2,4.8,5.6,,
70,SA,TOTAL,M,PC_ACT,PL,2.8,2.8,2.7,2.7,2.9,3.0,2.9,3.1,3.2,3.2,3.1,
71,SA,TOTAL,M,PC_ACT,PT,6.0,5.9,5.9,6.2,6.4,5.9,5.5,5.2,5.7,7.1,7.9,
72,SA,TOTAL,M,PC_ACT,RO,4.5,4.4,4.5,4.7,3.8,4.9,5.3,5.4,5.6,5.6,6.1,
73,SA,TOTAL,M,PC_ACT,SE,6.8,6.6,7.2,6.6,7.6,7.2,6.7,8.3,8.1,9.4,9.5,
74,SA,TOTAL,M,PC_ACT,SI,4.6,4.0,3.6,3.2,3.6,3.7,3.8,4.2,4.1,4.2,4.2,
75,SA,TOTAL,M,PC_ACT,SK,5.5,5.5,5.5,5.4,5.8,5.8,5.5,6.0,6.3,6.5,6.7,
76,SA,TOTAL,M,PC_ACT,UK,4.0,3.9,3.8,3.9,4.1,4.1,4.0,4.0,4.0,,,
77,SA,TOTAL,M,PC_ACT,US,3.6,3.6,3.5,3.5,3.6,3.6,4.4,13.5,12.2,10.6,9.8,
78,SA,TOTAL,T,PC_ACT,AT,4.5,4.3,4.2,4.2,4.4,4.4,4.6,4.7,5.5,5.4,5.2,
79,SA,TOTAL,T,PC_ACT,BE,5.2,5.2,5.2,5.2,5.1,5.0,5.1,5.3,5.4,5.5,5.5,
80,SA,TOTAL,T,PC_ACT,BG,4.0,4.2,4.2,4.2,4.5,4.2,4.1,4.8,4.6,4.4,4.4,
81,SA,TOTAL,T,PC_ACT,CH,4.3,4.2,4.1,4.1,4.3,4.3,4.4,4.6,4.8,4.8,,
82,SA,TOTAL,T,PC_ACT,CY,6.6,6.6,6.5,6.3,6.3,6.1,6.4,7.7,8.1,7.4,6.9,
83,SA,TOTAL,T,PC_ACT,CZ,2.1,2.0,2.1,2.0,2.0,2.0,2.1,2.2,2.4,2.7,2.7,
84,SA,TOTAL,T,PC_ACT,DE,3.1,3.1,3.2,3.3,3.4,3.6,3.8,4.0,4.2,4.3,4.4,
85,SA,TOTAL,T,PC_ACT,DK,5.2,5.2,5.1,4.9,4.9,4.9,4.8,4.9,5.5,6.0,6.0,
86,SA,TOTAL,T,PC_ACT,EA,7.5,7.4,7.4,7.4,7.4,7.3,7.2,7.4,7.5,7.7,7.9,
87,SA,TOTAL,T,PC_ACT,EA18,7.5,7.4,7.4,7.4,7.4,7.3,7.2,7.4,7.5,7.7,7.9,
88,SA,TOTAL,T,PC_ACT,EA19,7.5,7.4,7.4,7.4,7.4,7.3,7.2,7.4,7.5,7.7,7.9,
89,SA,TOTAL,T,PC_ACT,EE,4.3,4.1,4.3,4.4,4.7,4.7,4.8,6.0,7.0,8.0,,
90,SA,TOTAL,T,PC_ACT,EL,16.9,16.7,16.6,16.4,16.2,16.0,14.3,15.8,17.3,18.3,,
91,SA,TOTAL,T,PC_ACT,ES,14.1,14.0,13.8,13.7,13.8,13.6,14.5,15.3,15.4,15.8,15.8,
92,SA,TOTAL,T,PC_ACT,EU27_2007,6.2,6.2,6.2,6.2,6.2,,,,,,,
93,SA,TOTAL,T,PC_ACT,EU27_2020,6.6,6.6,6.6,6.5,6.6,6.5,6.5,6.7,6.9,7.1,7.2,
94,SA,TOTAL,T,PC_ACT,EU28,6.2,6.2,6.2,6.2,6.2,,,,,,,
95,SA,TOTAL,T,PC_ACT,FI,6.9,6.9,6.8,6.8,6.8,6.9,7.0,7.2,7.4,7.6,7.8,
96,SA,TOTAL,T,PC_ACT,FR,8.4,8.3,8.2,8.2,8.0,7.7,7.5,7.8,6.9,6.6,6.9,
97,SA,TOTAL,T,PC_ACT,HR,6.4,6.4,6.4,6.4,6.3,6.2,6.8,8.1,8.9,8.8,8.6,
98,SA,TOTAL,T,PC_ACT,HU,3.5,3.6,3.4,3.4,3.4,3.6,3.7,4.1,4.8,4.9,,
99,SA,TOTAL,T,PC_ACT,IE,4.8,4.7,4.7,4.8,4.9,4.9,5.0,4.8,4.8,5.0,5.1,5.2
100,SA,TOTAL,T,PC_ACT,IS,3.5,3.5,3.6,3.5,3.8,3.9,3.5,3.9,4.5,4.5,5.0,
101,SA,TOTAL,T,PC_ACT,IT,9.7,9.5,9.5,9.6,9.6,9.4,8.5,7.3,8.5,9.3,9.7,
102,SA,TOTAL,T,PC_ACT,JP,2.4,2.4,2.2,2.2,2.4,2.4,2.5,2.6,2.9,2.8,2.9,
103,SA,TOTAL,T,PC_ACT,LT,6.7,6.4,6.5,6.4,6.1,6.3,6.6,7.8,8.5,8.8,9.0,
104,SA,TOTAL,T,PC_ACT,LU,5.5,5.5,5.6,5.6,5.7,5.8,6.5,7.5,7.7,7.7,7.3,
105,SA,TOTAL,T,PC_ACT,LV,6.0,5.8,5.9,6.5,7.0,7.0,7.2,8.2,8.7,8.9,9.0,
106,SA,TOTAL,T,PC_ACT,MT,3.7,3.6,3.6,3.6,3.7,3.5,3.9,4.4,4.5,4.3,4.1,
107,SA,TOTAL,T,PC_ACT,NL,3.5,3.5,3.5,3.2,3.0,2.9,2.9,3.4,3.6,4.3,4.5,
108,SA,TOTAL,T,PC_ACT,NO,3.9,3.8,3.9,3.9,3.7,3.5,3.6,4.1,4.6,5.2,,
109,SA,TOTAL,T,PC_ACT,PL,3.1,3.0,2.9,2.9,3.0,3.0,3.0,3.1,3.3,3.3,3.2,
110,SA,TOTAL,T,PC_ACT,PT,6.5,6.5,6.7,6.7,6.8,6.4,6.2,6.3,5.9,7.3,8.1,
111,SA,TOTAL,T,PC_ACT,RO,4.1,3.9,4.0,4.0,3.7,4.3,4.6,5.0,5.1,5.3,5.4,
112,SA,TOTAL,T,PC_ACT,SE,6.7,6.7,7.3,6.6,7.2,7.6,6.8,7.9,8.5,9.2,9.2,
113,SA,TOTAL,T,PC_ACT,SI,4.7,4.4,4.1,3.8,4.2,4.2,4.3,4.7,4.8,4.8,4.7,
114,SA,TOTAL,T,PC_ACT,SK,5.7,5.7,5.6,5.6,6.1,6.1,5.8,6.4,6.5,6.6,6.8,
115,SA,TOTAL,T,PC_ACT,TR,13.9,13.6,13.2,13.1,12.6,12.6,12.9,13.6,14.0,,,
116,SA,TOTAL,T,PC_ACT,UK,3.7,3.7,3.7,3.7,3.9,3.9,3.8,3.9,3.8,,,
117,SA,TOTAL,T,PC_ACT,US,3.5,3.6,3.5,3.5,3.6,3.5,4.4,14.7,13.3,11.1,10.2,
