,unit,age,sex,geo,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
67,PC,Y_GE15,F,DEA3,6.1,6.5,5.8,4.6,4.4,4.7,4.1,3.9,3.7,3.1,2.7,2.7
68,PC,Y_GE15,F,DEA4,7.5,7.0,6.1,5.4,4.6,4.8,4.8,4.2,3.4,3.3,3.1,2.6
69,PC,Y_GE15,F,DEA5,8.8,8.4,6.9,6.1,6.1,5.7,5.1,4.8,4.3,3.8,3.2,3.3
70,PC,Y_GE15,F,DEB1,6.6,6.5,5.1,4.7,3.9,3.8,3.8,3.5,3.1,2.7,2.6,1.8
71,PC,Y_GE15,F,DEB2,5.3,4.4,,4.4,,,,,,,,
72,PC,Y_GE15,F,DEB3,5.5,5.5,5.8,5.3,4.6,4.3,3.7,3.5,3.6,3.4,2.7,2.9
73,PC,Y_GE15,F,DEC0,6.9,8.4,6.1,5.4,6.3,5.4,5.5,4.4,4.1,3.5,3.1,3.1
74,PC,Y_GE15,F,DED2,11.7,11.5,9.7,7.9,7.5,6.9,7.2,5.4,4.2,4.1,3.7,3.4
75,PC,Y_GE15,F,DED4,13.6,13.0,11.2,8.9,8.2,8.2,6.5,5.1,4.6,4.5,2.9,3.2
76,PC,Y_GE15,F,DED5,13.1,12.4,11.2,11.0,8.9,8.6,7.4,6.7,5.7,4.6,4.3,4.4
77,PC,Y_GE15,F,DEE0,15.5,13.4,10.8,10.1,9.7,9.2,8.4,7.6,7.2,6.2,4.6,4.2
78,PC,Y_GE15,F,DEF0,6.8,7.0,5.7,5.0,4.4,4.4,4.2,3.4,3.5,2.8,2.6,2.3
79,PC,Y_GE15,F,DEG0,12.0,10.6,8.9,7.4,7.7,6.3,6.0,5.8,5.0,4.2,4.1,3.4
80,PC,Y_GE15,F,DK01,3.8,5.8,7.4,8.3,8.4,8.0,7.6,6.9,6.5,6.3,5.6,5.2
81,PC,Y_GE15,F,DK02,3.9,4.7,5.8,7.0,6.2,7.4,6.6,6.5,6.6,5.6,5.1,5.3
82,PC,Y_GE15,F,DK03,4.0,5.7,6.7,7.4,8.3,8.3,7.1,6.3,6.6,6.1,5.2,4.8
83,PC,Y_GE15,F,DK04,4.2,5.5,6.6,7.1,7.1,7.0,6.9,6.1,5.6,6.0,4.9,5.1
84,PC,Y_GE15,F,DK05,5.0,6.9,6.6,7.7,8.4,7.0,6.9,6.7,7.2,5.8,5.9,6.7
85,PC,Y_GE15,F,EE00,5.1,10.3,14.1,11.6,9.1,8.2,6.8,6.1,6.1,5.3,5.3,4.8
86,PC,Y_GE15,F,EL30,8.8,11.3,14.6,19.9,27.4,30.7,29.5,27.4,26.2,24.8,24.9,20.1
87,PC,Y_GE15,F,EL41,9.7,12.4,14.4,17.8,28.5,27.3,28.1,25.1,26.1,28.2,28.3,23.7
88,PC,Y_GE15,F,EL42,12.9,17.6,21.9,18.7,20.6,26.3,21.2,16.3,21.7,19.2,21.1,18.1
89,PC,Y_GE15,F,EL43,10.2,12.4,15.2,19.3,27.1,29.7,27.9,28.9,27.6,21.4,17.2,14.6
90,PC,Y_GE15,F,EL51,14.5,15.8,18.2,23.4,25.1,28.5,27.7,27.7,27.6,24.9,18.9,20.3
91,PC,Y_GE15,F,EL52,13.0,14.3,18.4,24.8,30.3,35.1,33.2,30.1,28.4,28.2,25.8,24.3
92,PC,Y_GE15,F,EL53,19.1,16.8,19.6,28.8,36.4,37.8,34.6,39.6,40.4,37.2,32.9,32.9
93,PC,Y_GE15,F,EL54,16.4,16.3,17.6,20.9,26.8,31.5,30.1,28.9,29.1,29.4,22.2,18.6
94,PC,Y_GE15,F,EL61,12.2,13.0,16.9,23.0,30.5,31.8,31.9,32.9,30.4,26.0,23.2,23.5
95,PC,Y_GE15,F,EL62,12.2,14.1,19.0,18.3,19.9,24.7,27.9,24.4,17.4,21.4,19.8,16.4
96,PC,Y_GE15,F,EL63,15.9,15.5,16.8,22.8,30.4,34.7,34.3,34.1,38.5,35.4,31.6,30.6
97,PC,Y_GE15,F,EL64,14.2,16.7,18.1,26.3,36.0,32.7,30.8,32.4,33.8,26.7,25.6,25.5
98,PC,Y_GE15,F,EL65,11.1,12.9,14.0,17.0,24.7,26.9,28.6,27.4,23.7,21.5,19.0,15.5
99,PC,Y_GE15,F,ES11,10.2,13.4,16.2,18.1,20.2,21.7,21.7,20.0,17.8,16.4,14.4,12.8
100,PC,Y_GE15,F,ES12,10.6,14.3,16.8,17.3,21.8,24.4,22.2,18.6,16.3,13.9,14.9,15.1
101,PC,Y_GE15,F,ES13,8.8,12.6,15.0,14.3,17.4,20.8,18.7,19.0,15.5,13.9,12.4,11.0
102,PC,Y_GE15,F,ES21,7.8,11.6,11.2,13.0,15.7,16.5,16.1,14.7,13.1,12.2,9.8,9.4
103,PC,Y_GE15,F,ES22,8.4,11.9,12.4,13.5,15.5,18.9,16.0,15.2,14.3,13.2,11.1,9.2
104,PC,Y_GE15,F,ES23,9.9,12.7,15.9,17.9,22.5,21.0,21.2,16.9,15.1,14.9,11.9,9.8
105,PC,Y_GE15,F,ES24,8.2,12.6,15.9,17.3,19.8,22.7,22.5,19.9,17.8,14.8,12.2,11.5
106,PC,Y_GE15,F,ES30,9.5,13.8,16.1,16.3,17.9,20.3,19.6,17.3,16.5,13.9,12.9,11.5
107,PC,Y_GE15,F,ES41,13.4,16.5,17.9,18.4,22.1,23.7,22.7,21.1,17.9,16.6,14.2,13.6
108,PC,Y_GE15,F,ES42,15.3,21.4,24.2,26.1,32.3,33.3,32.9,31.3,28.2,26.0,24.1,21.3
109,PC,Y_GE15,F,ES43,21.7,25.0,26.3,27.9,36.0,35.9,33.2,33.5,32.4,30.7,29.1,27.7
110,PC,Y_GE15,F,ES51,8.7,15.0,16.5,18.4,21.7,22.4,20.0,19.4,16.9,14.4,12.1,11.5
111,PC,Y_GE15,F,ES52,13.4,20.5,22.8,24.3,27.0,29.2,26.8,23.8,22.6,20.2,17.5,16.9
112,PC,Y_GE15,F,ES53,10.8,16.2,19.3,21.3,24.1,21.9,18.4,17.3,14.4,12.5,10.9,13.4
