,unit,age,sex,isced11,geo,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
102,THS,Y15-74,T,TOTAL,MT,7.9,8.1,7.9,9.3,8.6,8.4,9.1,8.7,7.4,6.8,8.2,8.7
103,THS,Y15-74,T,TOTAL,NL,627.6,620.6,596.9,586.5,603.9,685.8,687.4,722.6,705.0,703.0,723.4,728.5
104,THS,Y15-74,T,TOTAL,NO,213.3,219.5,209.8,214.6,228.4,224.9,229.9,245.2,235.8,223.4,235.8,254.9
105,THS,Y15-74,T,TOTAL,PL,1184.1,1172.7,1129.9,1100.3,1082.6,1057.2,1008.6,916.4,897.8,892.6,876.1,837.6
106,THS,Y15-74,T,TOTAL,PT,331.3,319.1,288.4,234.6,206.2,181.0,199.9,194.0,194.5,195.7,204.0,225.0
107,THS,Y15-74,T,TOTAL,RO,295.1,277.2,238.3,214.8,209.5,174.4,165.5,135.7,130.4,130.2,130.8,148.2
108,THS,Y15-74,T,TOTAL,RS,,,107.6,79.9,72.8,69.9,125.1,132.4,186.5,191.1,194.4,215.5
109,THS,Y15-74,T,TOTAL,SE,374.8,367.1,381.1,391.1,394.8,420.5,439.8,434.9,432.8,441.6,444.0,465.4
110,THS,Y15-74,T,TOTAL,SI,36.6,34.0,35.3,29.5,30.8,28.1,36.6,31.3,24.1,34.1,34.2,22.0
111,THS,Y15-74,T,TOTAL,SK,25.6,23.9,27.7,28.0,24.1,27.9,24.7,22.7,30.6,33.0,32.3,30.3
112,THS,Y15-74,T,TOTAL,TR,538.9,572.8,629.2,743.6,730.6,750.3,825.0,871.3,883.4,947.0,1006.9,893.5
113,THS,Y15-74,T,TOTAL,UK,1116.3,1129.5,1098.7,1133.5,1122.7,1132.3,1194.3,1167.0,1122.2,1118.4,1111.1,1128.7
114,THS,Y20-64,T,TOTAL,AT,170.2,161.5,157.0,163.9,167.1,181.6,181.1,182.2,197.0,198.2,182.2,185.6
115,THS,Y20-64,T,TOTAL,BE,168.1,174.3,183.4,186.3,189.3,182.5,192.7,184.0,201.0,177.3,178.4,205.2
116,THS,Y20-64,T,TOTAL,BG,24.8,19.6,15.8,10.6,11.2,15.2,16.8,13.3,14.5,13.1,11.4,13.2
117,THS,Y20-64,T,TOTAL,CH,299.4,301.1,266.5,264.5,281.5,283.0,299.7,311.7,332.5,333.0,340.5,358.4
118,THS,Y20-64,T,TOTAL,CY,15.7,14.4,12.0,13.1,9.8,9.8,13.0,10.1,12.8,12.5,9.8,10.3
119,THS,Y20-64,T,TOTAL,CZ,86.7,89.9,104.8,101.8,104.3,108.5,106.6,113.4,117.0,133.7,133.2,133.5
120,THS,Y20-64,T,TOTAL,DE,1402.8,1405.3,1363.5,1728.2,1797.9,1872.0,1938.8,1978.8,2156.8,2179.7,2154.0,2239.0
121,THS,Y20-64,T,TOTAL,DK,241.5,230.0,206.3,204.1,191.4,186.1,189.3,180.4,236.0,219.4,189.5,211.9
122,THS,Y20-64,T,TOTAL,EA19,4946.5,4750.9,4623.8,4832.7,4840.3,5548.7,5657.6,5694.1,5914.0,5963.5,6045.7,6200.3
123,THS,Y20-64,T,TOTAL,EE,20.2,24.1,27.5,30.6,29.5,31.4,28.2,30.3,33.0,34.7,38.8,40.2
124,THS,Y20-64,T,TOTAL,EL,152.1,150.4,130.2,94.2,68.1,60.3,58.6,57.9,65.2,75.8,79.3,78.2
125,THS,Y20-64,T,TOTAL,ES,517.8,441.8,404.7,371.5,346.4,375.3,380.4,400.6,421.4,443.1,436.2,461.7
126,THS,Y20-64,T,TOTAL,EU27_2020,7235.6,6991.9,6777.0,6937.4,6914.6,7599.5,7646.6,7528.8,7772.1,7826.7,7861.7,8037.7
127,THS,Y20-64,T,TOTAL,EU28,8268.5,8049.4,7804.5,7995.6,7956.0,8652.9,8760.6,8623.3,8829.1,8877.1,8903.7,9098.5
128,THS,Y20-64,T,TOTAL,FI,106.4,103.1,105.3,109.6,116.3,120.6,121.3,135.9,138.4,142.3,150.3,159.8
129,THS,Y20-64,T,TOTAL,FR,819.5,855.2,863.3,854.3,823.1,1391.3,1389.4,1338.0,1305.9,1310.3,1406.7,1381.1
130,THS,Y20-64,T,TOTAL,HR,52.0,46.7,43.3,37.0,32.6,26.8,37.4,38.0,16.8,15.6,19.6,16.2
131,THS,Y20-64,T,TOTAL,HU,60.3,69.1,67.8,76.1,78.4,99.0,68.3,46.1,54.5,65.8,62.3,62.4
132,THS,Y20-64,T,TOTAL,IE,54.7,43.7,38.5,38.1,38.7,47.5,46.8,45.9,45.5,54.6,58.7,64.6
133,THS,Y20-64,T,TOTAL,IS,15.6,13.6,13.0,13.8,14.3,15.1,16.6,18.5,20.6,20.4,18.9,18.5
134,THS,Y20-64,T,TOTAL,IT,430.5,340.8,339.2,307.8,319.3,286.3,288.0,298.3,322.4,333.9,321.1,335.8
135,THS,Y20-64,T,TOTAL,LT,71.3,62.1,61.5,65.7,70.6,78.9,83.8,67.4,66.7,64.4,63.6,64.6
136,THS,Y20-64,T,TOTAL,LU,4.1,6.4,6.6,5.2,6.7,7.2,7.6,9.6,9.6,9.6,9.8,9.2
137,THS,Y20-64,T,TOTAL,LV,60.8,40.3,36.7,34.9,42.0,40.5,39.1,47.4,49.2,36.5,37.3,39.9
138,THS,Y20-64,T,TOTAL,ME,,,,1.3,2.0,2.2,2.9,3.1,2.3,2.0,1.3,1.6
139,THS,Y20-64,T,TOTAL,MK,14.3,14.1,13.1,14.5,13.4,7.0,8.5,9.2,10.2,12.6,15.3,25.1
140,THS,Y20-64,T,TOTAL,MT,7.8,8.0,7.9,9.1,8.5,8.3,9.0,8.6,7.4,6.7,8.0,8.4
141,THS,Y20-64,T,TOTAL,NL,560.6,553.1,544.9,537.2,553.1,624.0,624.7,656.6,637.4,628.9,648.2,647.3
142,THS,Y20-64,T,TOTAL,NO,197.1,206.1,195.8,200.6,212.5,208.2,213.4,227.5,218.4,205.8,219.7,237.0
143,THS,Y20-64,T,TOTAL,PL,1175.5,1164.6,1118.0,1090.1,1074.1,1047.0,998.2,906.6,887.5,881.0,863.3,826.3
144,THS,Y20-64,T,TOTAL,PT,323.0,309.1,279.4,226.5,200.0,176.0,194.8,189.4,190.4,189.5,198.2,218.8
145,THS,Y20-64,T,TOTAL,RO,292.0,274.5,237.1,213.9,208.5,173.6,164.3,134.0,130.1,127.4,129.7,147.0
146,THS,Y20-64,T,TOTAL,RS,,,106.0,78.9,70.1,69.5,123.4,130.8,183.7,187.7,190.8,212.1
147,THS,Y20-64,T,TOTAL,SE,356.2,346.8,360.0,371.0,374.0,394.7,408.2,402.9,401.7,407.1,407.0,426.8
148,THS,Y20-64,T,TOTAL,SI,35.9,33.5,34.7,29.1,30.7,27.6,36.3,31.1,23.9,33.7,33.8,21.6
149,THS,Y20-64,T,TOTAL,SK,25.2,23.8,27.5,27.4,23.3,27.6,24.2,21.9,29.9,32.0,31.4,29.2
150,THS,Y20-64,T,TOTAL,TR,526.2,559.2,614.4,727.2,710.5,729.3,804.6,842.0,848.5,912.1,969.1,858.3
151,THS,Y20-64,T,TOTAL,UK,1032.9,1057.5,1027.5,1058.2,1041.4,1053.4,1114.0,1094.6,1057.0,1050.4,1042.1,1060.9
152,THS,Y_GE15,T,TOTAL,AT,174.1,164.7,159.8,167.1,169.9,184.5,184.0,184.6,200.3,201.3,185.4,189.0
153,THS,Y_GE15,T,TOTAL,BE,168.9,175.4,184.3,187.2,190.8,184.0,194.1,185.1,202.1,179.2,180.1,208.7
154,THS,Y_GE15,T,TOTAL,BG,25.7,20.2,16.3,11.0,11.6,15.7,17.8,14.0,14.8,14.0,12.2,14.1
155,THS,Y_GE15,T,TOTAL,CH,314.5,315.6,279.4,277.4,293.3,297.8,315.1,327.7,349.0,352.1,359.9,377.6
156,THS,Y_GE15,T,TOTAL,CY,16.1,14.8,12.8,13.7,9.9,10.2,13.5,10.3,13.1,12.8,10.4,10.8
157,THS,Y_GE15,T,TOTAL,CZ,88.2,91.7,106.3,103.5,105.3,110.6,109.0,115.4,119.7,136.8,136.8,137.1
158,THS,Y_GE15,T,TOTAL,DE,1428.7,1429.2,1387.8,1758.7,1835.0,1909.0,1979.7,2023.3,2206.9,2236.0,2208.6,2298.7
159,THS,Y_GE15,T,TOTAL,DK,262.8,252.0,222.1,219.9,207.8,200.7,204.2,193.9,255.9,237.0,207.0,233.9
160,THS,Y_GE15,T,TOTAL,EA19,5093.0,4896.8,4748.0,4958.3,4977.5,5704.9,5816.2,5862.0,6098.8,6163.2,6253.4,6426.9
161,THS,Y_GE15,T,TOTAL,EE,21.3,25.0,28.3,31.4,30.8,32.6,29.2,31.3,34.3,35.9,40.1,42.0
162,THS,Y_GE15,T,TOTAL,EL,155.2,155.0,134.1,96.5,69.5,61.8,60.2,59.3,66.9,78.3,81.7,81.4
163,THS,Y_GE15,T,TOTAL,ES,523.2,445.3,408.8,374.6,350.0,377.7,383.0,404.0,424.9,447.6,440.9,467.0
164,THS,Y_GE15,T,TOTAL,EU27_2020,7437.9,7195.8,6955.8,7114.7,7102.4,7812.1,7869.1,7758.4,8023.4,8098.9,8144.0,8343.2
165,THS,Y_GE15,T,TOTAL,EU28,8556.3,8327.7,8057.9,8251.1,8229.7,8947.0,9064.1,8931.5,9149.3,9219.7,9258.4,9477.2
166,THS,Y_GE15,T,TOTAL,FI,111.2,108.4,110.5,114.1,122.4,127.0,128.8,145.1,148.0,151.1,160.0,168.9
167,THS,Y_GE15,T,TOTAL,FR,827.6,865.9,872.9,867.6,836.7,1415.1,1410.5,1359.8,1331.9,1334.8,1437.1,1414.9
168,THS,Y_GE15,T,TOTAL,HR,52.3,47.0,43.6,37.5,33.2,27.5,37.4,38.5,17.1,16.1,19.9,16.3
169,THS,Y_GE15,T,TOTAL,HU,61.0,70.0,68.4,76.9,78.9,100.0,69.2,46.8,55.2,66.7,63.5,63.2
170,THS,Y_GE15,T,TOTAL,IE,57.4,45.8,39.5,39.5,40.4,49.3,48.6,47.3,47.2,57.5,61.4,68.8
171,THS,Y_GE15,T,TOTAL,IS,17.0,15.1,14.4,15.1,15.9,16.9,18.5,20.8,23.4,22.9,20.9,20.2
172,THS,Y_GE15,T,TOTAL,IT,439.0,346.5,343.3,311.9,324.9,291.7,292.9,303.1,329.3,339.9,327.0,342.1
173,THS,Y_GE15,T,TOTAL,LT,72.3,63.0,62.3,66.3,71.1,79.9,84.3,68.5,68.5,65.7,65.8,66.8
174,THS,Y_GE15,T,TOTAL,LU,4.2,6.9,6.7,5.3,6.8,7.6,7.9,10.0,9.9,9.9,10.2,9.7
175,THS,Y_GE15,T,TOTAL,LV,62.6,41.4,37.5,35.3,42.6,41.1,40.0,48.6,51.0,38.0,39.3,41.8
176,THS,Y_GE15,T,TOTAL,ME,,,,1.4,2.0,2.2,2.9,3.1,2.4,2.0,1.4,1.6
177,THS,Y_GE15,T,TOTAL,MK,14.7,14.5,13.3,14.7,13.7,7.1,8.5,9.4,10.3,12.6,15.4,25.3
178,THS,Y_GE15,T,TOTAL,MT,7.9,8.1,7.9,9.3,8.6,8.4,9.1,8.7,7.5,6.8,8.2,8.7
179,THS,Y_GE15,T,TOTAL,NL,628.0,622.1,596.9,586.9,605.5,686.8,688.4,723.9,707.2,704.7,726.0,729.7
180,THS,Y_GE15,T,TOTAL,NO,213.3,219.5,209.8,214.6,228.4,224.9,229.9,245.2,235.8,223.4,235.8,254.9
181,THS,Y_GE15,T,TOTAL,PL,1184.9,1173.7,1131.6,1101.7,1083.7,1057.7,1010.1,917.2,898.8,893.4,876.4,838.2
182,THS,Y_GE15,T,TOTAL,PT,333.1,321.4,291.5,235.5,207.7,182.5,200.7,195.0,195.1,196.2,204.5,225.7
183,THS,Y_GE15,T,TOTAL,RO,295.1,277.2,238.3,214.8,209.5,174.4,165.5,135.7,130.4,130.2,130.8,148.2
184,THS,Y_GE15,T,TOTAL,RS,,,108.5,80.1,72.8,69.9,125.1,132.5,186.6,191.3,194.5,216.0
185,THS,Y_GE15,T,TOTAL,SE,374.8,367.1,381.1,391.1,394.8,420.5,439.8,434.9,432.8,441.6,444.0,465.4
186,THS,Y_GE15,T,TOTAL,SI,36.6,34.0,35.3,29.5,30.8,28.1,36.7,31.3,24.1,34.1,34.2,22.0
187,THS,Y_GE15,T,TOTAL,SK,25.7,23.9,27.7,28.0,24.1,27.9,24.7,22.7,30.6,33.0,32.3,30.3
188,THS,Y_GE15,T,TOTAL,TR,539.1,573.8,629.9,744.3,731.8,750.9,826.2,872.1,884.8,947.7,1009.1,895.1
189,THS,Y_GE15,T,TOTAL,UK,1118.5,1131.9,1102.1,1136.3,1127.4,1134.9,1195.0,1173.1,1126.0,1120.8,1114.4,1134.0
190,THS,Y_GE25,T,TOTAL,AT,162.5,155.3,150.6,156.3,161.4,175.4,174.2,172.9,188.4,189.8,175.3,179.6
191,THS,Y_GE25,T,TOTAL,BE,159.3,166.3,175.1,178.6,184.9,175.3,186.2,177.3,192.0,170.4,172.0,200.1
192,THS,Y_GE25,T,TOTAL,BG,24.6,19.2,15.9,10.9,10.4,15.1,17.4,13.7,14.4,13.5,11.9,13.9
193,THS,Y_GE25,T,TOTAL,CH,281.8,283.3,258.0,255.3,272.8,276.3,291.5,302.3,324.0,323.7,331.8,349.5
194,THS,Y_GE25,T,TOTAL,CY,15.4,14.1,12.3,13.0,9.3,9.8,13.1,10.0,12.6,12.4,9.9,10.3
195,THS,Y_GE25,T,TOTAL,CZ,86.1,89.2,103.1,100.9,102.0,107.4,106.2,113.0,115.7,132.8,133.2,133.4
