s_adj,age,sex,unit,geo_time,2019M09,2019M10,2019M11,2019M12,2020M01,2020M02,2020M03,2020M04,2020M05,2020M06,2020M07,2020M08
SA,Y25-74,M,PC_ACT,FR,7.2,7.0,6.8,6.8,6.6,6.3,6.2,6.6,5.8,5.5,5.8,
SA,Y25-74,M,PC_ACT,HR,5.1,5.1,5.2,5.1,5.3,5.2,5.5,6.4,6.7,6.6,6.5,
SA,Y25-74,M,PC_ACT,HU,2.6,2.6,2.5,2.6,2.6,2.8,3.0,3.5,3.8,4.0,,
SA,Y25-74,M,PC_ACT,IE,4.1,4.0,3.9,3.9,3.9,3.9,4.0,4.0,4.1,4.1,4.1,4.2
SA,Y25-74,M,PC_ACT,IS,2.4,2.4,2.3,2.3,2.4,2.4,2.4,2.6,2.9,3.2,4.5,
SA,Y25-74,M,PC_ACT,IT,7.6,7.4,7.4,7.4,,,,,,,,
SA,Y25-74,M,PC_ACT,LT,7.0,6.6,6.7,6.5,5.9,6.1,6.4,7.7,8.5,8.6,8.9,
SA,Y25-74,M,PC_ACT,LU,4.4,4.4,4.5,4.4,4.6,4.7,5.6,6.1,6.1,6.0,5.7,
SA,Y25-74,M,PC_ACT,LV,6.3,6.0,6.2,7.0,7.5,7.4,7.6,8.6,9.2,9.6,9.9,
SA,Y25-74,M,PC_ACT,MT,2.3,2.4,2.5,2.7,2.8,2.7,3.0,3.3,3.1,2.9,2.9,
SA,Y25-74,M,PC_ACT,NL,2.8,2.8,2.8,2.6,2.4,2.3,2.3,2.6,2.5,3.0,3.1,
SA,Y25-74,M,PC_ACT,NO,3.2,3.2,3.3,3.2,2.9,2.6,2.7,3.3,3.8,4.6,,
SA,Y25-74,M,PC_ACT,PL,2.3,2.3,2.3,2.3,2.4,2.4,2.4,2.6,2.8,2.8,2.7,
SA,Y25-74,M,PC_ACT,PT,5.0,5.1,5.2,5.5,5.5,5.2,5.0,4.6,4.9,5.9,6.8,
SA,Y25-74,M,PC_ACT,RO,3.6,3.3,3.4,3.5,3.0,3.3,4.6,4.5,4.9,4.7,4.9,
SA,Y25-74,M,PC_ACT,SE,5.2,4.7,5.4,4.9,5.5,5.6,5.0,5.9,6.1,7.0,7.1,
SA,Y25-74,M,PC_ACT,SI,4.3,3.7,3.2,2.9,3.2,3.3,3.5,3.8,3.7,3.6,3.5,
SA,Y25-74,M,PC_ACT,SK,4.9,4.8,4.8,4.8,5.1,5.1,4.8,5.2,5.5,5.6,5.7,
SA,Y25-74,M,PC_ACT,UK,2.8,2.6,2.6,2.7,2.9,2.9,2.8,2.7,2.7,,,
SA,Y25-74,M,PC_ACT,US,2.8,2.8,2.8,2.7,2.9,3.0,3.5,12.1,10.5,9.3,8.6,
SA,Y25-74,T,PC_ACT,AT,3.9,3.8,3.7,3.6,3.7,3.7,3.8,3.9,4.7,4.7,4.6,
SA,Y25-74,T,PC_ACT,BE,4.5,4.4,4.4,4.4,4.4,4.4,4.6,4.8,4.8,4.8,4.7,
SA,Y25-74,T,PC_ACT,BG,3.8,4.0,4.0,3.9,4.1,3.9,3.8,4.4,4.2,4.1,4.1,
SA,Y25-74,T,PC_ACT,CH,3.7,3.5,3.5,3.5,3.7,3.8,3.9,4.0,4.2,4.3,,
SA,Y25-74,T,PC_ACT,CY,5.8,5.8,5.8,5.5,5.7,5.5,5.8,6.9,7.1,6.3,5.8,
SA,Y25-74,T,PC_ACT,CZ,1.9,1.9,1.9,1.8,1.8,1.8,1.9,2.0,2.1,2.4,2.3,
SA,Y25-74,T,PC_ACT,DE,2.8,2.9,2.9,3.0,,,,,,,,
SA,Y25-74,T,PC_ACT,DK,4.4,4.3,4.2,4.1,4.1,4.1,3.9,3.9,4.4,4.9,4.9,
SA,Y25-74,T,PC_ACT,EA,6.7,6.6,6.6,6.6,6.6,6.5,6.5,6.5,6.7,6.9,7.1,
SA,Y25-74,T,PC_ACT,EA18,6.7,6.6,6.6,6.6,6.6,6.5,6.5,6.5,6.7,6.9,7.1,
SA,Y25-74,T,PC_ACT,EA19,6.7,6.6,6.6,6.6,6.6,6.5,6.5,6.5,6.7,6.9,7.1,
SA,Y25-74,T,PC_ACT,EE,3.9,3.8,3.9,4.0,4.4,4.3,4.4,5.5,6.1,6.7,,
SA,Y25-74,T,PC_ACT,EL,15.9,15.7,15.7,15.6,15.3,15.0,13.4,14.9,16.3,17.3,,
SA,Y25-74,T,PC_ACT,ES,12.8,12.7,12.6,12.5,12.5,12.3,13.1,13.9,14.0,14.2,14.2,
SA,Y25-74,T,PC_ACT,EU27_2007,5.4,5.4,5.4,5.4,5.4,,,,,,,
SA,Y25-74,T,PC_ACT,EU27_2020,5.9,5.8,5.8,5.8,5.8,5.7,5.7,5.9,6.0,6.2,6.3,
SA,Y25-74,T,PC_ACT,EU28,5.4,5.4,5.4,5.4,5.4,,,,,,,
SA,Y25-74,T,PC_ACT,FI,5.4,5.3,5.3,5.3,5.2,5.3,5.4,5.6,5.8,6.0,6.1,
SA,Y25-74,T,PC_ACT,FR,7.2,7.0,6.9,6.9,6.8,6.5,6.3,6.4,5.5,5.2,5.7,
SA,Y25-74,T,PC_ACT,HR,5.6,5.5,5.6,5.5,5.5,5.4,5.8,6.9,7.4,7.3,7.2,
SA,Y25-74,T,PC_ACT,HU,2.9,2.9,2.7,2.8,2.9,3.0,3.1,3.5,4.0,4.2,,
SA,Y25-74,T,PC_ACT,IE,3.9,3.8,3.8,3.9,3.9,3.9,4.0,3.8,3.8,3.8,3.8,3.8
SA,Y25-74,T,PC_ACT,IS,2.4,2.4,2.4,2.5,2.9,2.9,2.7,2.9,3.4,3.4,4.1,
SA,Y25-74,T,PC_ACT,IT,8.5,8.4,8.4,8.4,,,,,,,,
SA,Y25-74,T,PC_ACT,LT,6.2,5.8,5.9,5.8,5.4,5.5,5.8,7.0,7.6,7.8,8.0,
SA,Y25-74,T,PC_ACT,LU,4.5,4.5,4.6,4.6,4.7,4.8,5.4,5.9,6.1,6.0,5.7,
SA,Y25-74,T,PC_ACT,LV,5.7,5.5,5.6,6.2,6.5,6.5,6.7,7.6,8.0,8.3,8.5,
SA,Y25-74,T,PC_ACT,MT,2.9,2.9,2.9,2.8,2.8,2.6,3.1,3.8,3.7,3.6,3.6,
SA,Y25-74,T,PC_ACT,NL,2.8,2.7,2.7,2.6,2.4,2.3,2.3,2.5,2.5,3.2,3.3,
SA,Y25-74,T,PC_ACT,NO,2.9,2.9,3.0,2.9,2.7,2.5,2.6,3.2,3.5,4.1,,
SA,Y25-74,T,PC_ACT,PL,2.6,2.5,2.5,2.5,2.5,2.5,2.5,2.7,2.8,2.9,2.8,
SA,Y25-74,T,PC_ACT,PT,5.6,5.6,5.7,5.8,5.8,5.5,5.3,5.3,4.8,6.0,6.8,
SA,Y25-74,T,PC_ACT,RO,3.1,2.9,3.0,3.0,2.8,3.0,3.7,4.2,4.3,4.5,4.3,
SA,Y25-74,T,PC_ACT,SE,5.0,5.0,5.6,5.0,5.5,5.9,5.3,5.8,6.3,6.8,6.8,
SA,Y25-74,T,PC_ACT,SI,4.5,4.1,3.8,3.5,3.8,3.7,3.8,4.3,4.3,4.3,4.2,
SA,Y25-74,T,PC_ACT,SK,5.0,4.9,4.9,4.9,5.4,5.4,5.2,5.7,5.8,5.8,5.9,
SA,Y25-74,T,PC_ACT,TR,11.6,11.5,11.2,11.1,10.7,10.6,10.8,11.5,11.8,,,
SA,Y25-74,T,PC_ACT,UK,2.7,2.7,2.6,2.7,2.8,2.8,2.7,2.6,2.6,,,
SA,Y25-74,T,PC_ACT,US,2.9,2.9,2.9,2.8,2.9,2.9,3.5,13.1,11.6,9.7,9.1,
