s_adj,age,sex,unit,geo\time	2019M09 	2019M10 	2019M11 	2019M12 	2020M01 	2020M02 	2020M03 	2020M04 	2020M05 	2020M06 	2020M07 	2020M08 
SA,Y_LT25,M,THS_PER,SK	15 	16 	15 	14 	16 	16 	15 	17 	18 	18 	21 	: 
SA,Y_LT25,M,THS_PER,UK	277 	276 	268 	279 	289 	283 	280 	280 	291 	: 	: 	: 
SA,Y_LT25,M,THS_PER,US	977 	997 	970 	952 	938 	857 	1102 	2340 	2390 	1952 	1887 	: 
SA,Y_LT25,T,THS_PER,AT	45 	44 	45 	46 	50 	53 	54 	58 	59 	55 	52 	: 
SA,Y_LT25,T,THS_PER,BE	53 	60 	60 	60 	47 	47 	47 	52 	52 	52 	: 	: 
SA,Y_LT25,T,THS_PER,BG	13 	13 	14 	14 	18 	16 	15 	20 	18 	15 	14 	: 
SA,Y_LT25,T,THS_PER,CH	51 	51 	51 	50 	47 	46 	47 	50 	50 	49 	: 	: 
SA,Y_LT25,T,THS_PER,CY	6 	6 	6 	6 	5 	5 	5 	7 	7 	7 	: 	: 
SA,Y_LT25,T,THS_PER,CZ	14 	15 	14 	14 	16 	15 	17 	18 	21 	22 	23 	: 
SA,Y_LT25,T,THS_PER,DE	244 	244 	244 	245 	247 e	248 e	249 e	250 e	250 e	249 e	246 e	: 
SA,Y_LT25,T,THS_PER,DK	45 	48 	47 	43 	42 	42 	44 	45 	51 	55 	53 	: 
SA,Y_LT25,T,THS_PER,EA	2247 	2227 	2232 	2233 	2250 	2202 	2166 	2249 	2236 	2309 	2338 	: 
SA,Y_LT25,T,THS_PER,EA18	2233 	2212 	2217 	2217 	2234 	2185 	2148 	2229 	2215 	2286 	2315 	: 
SA,Y_LT25,T,THS_PER,EA19	2247 	2227 	2232 	2233 	2250 	2202 	2166 	2249 	2236 	2309 	2338 	: 
SA,Y_LT25,T,THS_PER,EE	5 	4 	5 	5 	5 	5 	5 	7 	9 	13 	: 	: 
SA,Y_LT25,T,THS_PER,EL	82 	83 	80 	74 	77 	78 	68 	78 	78 	80 	: 	: 
SA,Y_LT25,T,THS_PER,ES	500 	482 	470 	469 	496 	487 	502 	511 	493 	520 	516 	: 
SA,Y_LT25,T,THS_PER,EU27_2007	3176 	3135 	3141 	3143 	3173 	: 	: 	: 	: 	: 	: 	: 
SA,Y_LT25,T,THS_PER,EU27_2020	2729 	2702 	2713 	2695 	2715 	2714 	2629 	2766 	2774 	2869 	2906 	: 
SA,Y_LT25,T,THS_PER,EU28	3200 	3158 	3164 	3166 	3196 	: 	: 	: 	: 	: 	: 	: 
SA,Y_LT25,T,THS_PER,FI	59 	59 	60 	60 	61 	61 	62 	63 	63 	64 	64 	: 
SA,Y_LT25,T,THS_PER,FR	544 	563 	571 	575 	561 	525 	517 	590 	536 	512 	509 	: 
SA,Y_LT25,T,THS_PER,HR	24 	23 	23 	23 	24 	24 	24 	37 	37 	37 	: 	: 
SA,Y_LT25,T,THS_PER,HU	40 	41 	40 	35 	34 	37 	38 	42 	49 	49 	: 	: 
SA,Y_LT25,T,THS_PER,IE	34 	32 	32 	34 	38 	38 	38 	34 	34 	36 	39 	41 
SA,Y_LT25,T,THS_PER,IS	3 	3 	3 	3 	3 	3 	2 	3 	3 	3 	3 	: 
SA,Y_LT25,T,THS_PER,IT	433 	413 	418 	423 	426 	430 	389 	343 	378 	401 	433 	: 
SA,Y_LT25,T,THS_PER,LT	14 	15 	16 	16 	17 	17 	18 	20 	22 	23 	23 	: 
SA,Y_LT25,T,THS_PER,LU	4 	4 	4 	4 	4 	4 	5 	6 	7 	7 	6 	: 
SA,Y_LT25,T,THS_PER,LV	6 	7 	7 	8 	8 	8 	9 	11 	12 	11 	11 	: 
SA,Y_LT25,T,THS_PER,MT	3 	3 	3 	3 	3 	3 	3 	3 	3 	3 	2 	: 
SA,Y_LT25,T,THS_PER,NL	106 	109 	110 	101 	97 	94 	94 	119 	132 	156 	159 	: 
SA,Y_LT25,T,THS_PER,NO	38 	37 	39 	38 	39 	38 	37 	38 	44 	48 	: 	: 
SA,Y_LT25,T,THS_PER,PL	113 	105 	99 	97 	109 	116 	112 	109 	106 	105 	102 	: 
SA,Y_LT25,T,THS_PER,PT	71 	67 	70 	69 	73 	69 	66 	70 	66 	88 	85 	: 
SA,Y_LT25,T,THS_PER,RO	106 	112 	112 	112 	110 	110 	110 	: 	: 	: 	: 	: 
SA,Y_LT25,T,THS_PER,SE	126 	122 	130 	122 	125 	129 	113 	151 	156 	174 	169 	: 
SA,Y_LT25,T,THS_PER,SI	6 	6 	6 	6 	7 	7 	7 	8 	8 	8 	: 	: 
SA,Y_LT25,T,THS_PER,SK	28 	28 	27 	26 	28 	27 	26 	30 	30 	30 	34 	: 
SA,Y_LT25,T,THS_PER,TR	1327 	1272 	1230 	1230 	1142 	1119 	1110 	1120 	1133 	: 	: 	: 
SA,Y_LT25,T,THS_PER,UK	471 	456 	451 	471 	481 	486 	494 	525 	528 	: 	: 	: 
SA,Y_LT25,T,THS_PER,US	1699 	1675 	1693 	1710 	1746 	1638 	2124 	5094 	4888 	4013 	3606 	: 
