unit,sex,age,isced11,geo\time	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 
PC,T,Y25-64,ED3_4,MT	2.0 u	4.3 	3.6 	3.5 b	2.1 	2.5 	2.3 b	2.6 	2.4 	1.8 	2.7 	2.7 
PC,T,Y25-64,ED3_4,NL	2.6 	3.2 	3.7 	4.1 	4.9 	6.7 b	7.1 b	6.8 	5.7 	4.4 	3.3 	2.8 b
PC,T,Y25-64,ED3_4,NO	1.4 	1.9 	2.4 	2.2 	2.3 	2.3 	2.6 b	3.4 	3.5 	3.2 	2.9 	2.9 
PC,T,Y25-64,ED3_4,PL	6.3 	7.2 	8.9 b	8.7 	9.3 	9.7 	8.6 b	7.2 	5.8 	4.7 	3.7 	3.0 
PC,T,Y25-64,ED3_4,PT	6.5 	8.1 	9.7 	11.0 b	14.4 	14.4 	12.6 b	11.4 	10.5 	8.0 	6.6 	5.8 
PC,T,Y25-64,ED3_4,RO	4.8 	5.8 	6.5 b	6.3 	5.9 	6.3 	5.8 b	6.0 	5.1 	4.1 	3.4 	3.0 
PC,T,Y25-64,ED3_4,RS	: 	: 	19.7 	23.2 	24.1 	22.0 	18.7 b	17.1 	15.0 	13.1 	12.4 	10.0 
PC,T,Y25-64,ED3_4,SE	3.9 	5.7 	5.9 	4.9 	5.1 	5.2 	5.1 b	4.8 	4.5 	4.0 	3.6 b	3.9 
PC,T,Y25-64,ED3_4,SI	3.5 	5.6 	6.9 	8.2 	8.1 	9.8 	9.7 b	9.4 	7.6 	6.4 	5.3 	4.4 
PC,T,Y25-64,ED3_4,SK	7.4 	10.0 	12.3 	11.6 b	11.7 	12.3 	11.3 b	9.9 	8.4 	7.0 	5.5 	4.4 
PC,T,Y25-64,ED3_4,TR	8.0 	11.3 	10.1 	8.0 	7.6 	7.9 	9.1 b	9.1 	10.0 	9.7 	9.4 	12.0 
PC,T,Y25-64,ED3_4,UK	4.1 b	5.9 	6.2 b	6.1 b	6.0 	5.8 	4.9 b	4.2 	3.8 	3.3 	3.3 	2.8 
PC,T,Y25-64,ED5-8,AT	1.9 	2.5 	2.4 	2.5 	2.3 	3.4 	3.7 b	3.6 	3.4 	3.0 	3.0 	2.8 
PC,T,Y25-64,ED5-8,BE	3.2 b	3.8 	4.0 	3.4 b	3.4 	4.3 	4.2 b	4.1 	3.7 	3.8 b	3.2 	2.9 
PC,T,Y25-64,ED5-8,BG	2.1 b	2.9 	4.4 b	4.8 b	5.6 	6.1 	5.0 b	3.7 	3.3 	2.9 	2.2 	1.9 
PC,T,Y25-64,ED5-8,CH	1.8 	2.7 	3.1 b	2.9 	3.0 	3.4 	3.4 b	3.4 	3.3 	3.8 	3.5 	3.3 
PC,T,Y25-64,ED5-8,CY	2.4 	3.5 b	4.6 	5.8 	8.7 	10.9 	10.8 b	10.7 	9.6 	8.8 	6.9 	5.7 
PC,T,Y25-64,ED5-8,CZ	1.5 	2.2 	2.5 	2.6 b	2.6 	2.5 	2.6 b	2.2 	1.8 	1.4 	1.1 	1.0 
PC,T,Y25-64,ED5-8,DE	3.3 	3.4 	3.0 b	2.4 b	2.3 	2.4 	2.5 b	2.3 	2.2 	2.0 	1.9 	1.8 
PC,T,Y25-64,ED5-8,DK	2.2 b	3.8 	4.6 	5.0 	4.8 	4.7 	4.6 b	4.6 	4.4 b	4.4 b	3.9 	3.9 
PC,T,Y25-64,ED5-8,EA19	3.9 	5.0 	5.5 	5.6 	6.3 	6.9 	6.8 b	6.4 	5.8 	5.1 	4.8 	4.5 
PC,T,Y25-64,ED5-8,EE	2.8 	6.2 	9.2 	7.9 	5.9 	5.5 	4.7 b	3.8 	3.7 	3.3 	3.6 	2.6 
PC,T,Y25-64,ED5-8,EL	5.7 	6.7 b	8.8 	13.0 	17.1 	19.4 	19.1 b	19.0 	17.2 	15.7 	13.7 	11.6 
PC,T,Y25-64,ED5-8,ES	5.8 	8.9 	10.4 	11.5 	13.9 	14.9 	13.8 b	12.4 	10.9 	9.3 	8.4 	8.1 
PC,T,Y25-64,ED5-8,EU27_2020	3.7 	4.7 	5.2 	5.3 	6.0 	6.4 	6.3 b	5.8 	5.2 	4.6 	4.2 	4.0 
PC,T,Y25-64,ED5-8,EU28	3.5 	4.5 	4.9 	5.0 	5.6 	5.9 	5.7 b	5.2 	4.7 	4.2 	3.9 	3.7 
PC,T,Y25-64,ED5-8,FI	3.3 b	4.0 	4.4 	4.0 	3.9 	4.5 	5.1 b	6.0 	5.8 	5.3 	4.2 	3.9 
PC,T,Y25-64,ED5-8,FR	3.8 	4.8 	4.7 	4.7 	4.8 	5.3 b	5.8 b	5.7 	5.1 	4.8 	5.0 	4.7 
PC,T,Y25-64,ED5-8,HR	4.3 	5.6 	7.9 b	8.3 	9.9 	10.1 	9.0 b	8.9 	7.4 	6.5 	5.7 	5.0 
PC,T,Y25-64,ED5-8,HU	2.2 	3.4 	4.0 	3.8 	4.0 	3.5 	2.7 b	2.2 	1.7 	1.5 	1.3 	1.4 
PC,T,Y25-64,ED5-8,IE	3.3 	6.4 	7.2 	7.5 	7.3 	6.8 	6.4 b	5.2 	4.7 	3.7 b	3.6 	2.9 
PC,T,Y25-64,ED5-8,IS	1.6 	3.9 	3.5 	4.5 	2.9 	3.7 	3.6 b	2.8 	1.7 	1.6 	1.9 	2.2 
PC,T,Y25-64,ED5-8,IT	4.2 	5.1 	5.5 	5.1 	6.3 	6.9 	7.6 b	6.8 	6.5 	6.2 	5.8 	5.6 
PC,T,Y25-64,ED5-8,LT	2.4 u	5.6 	6.8 	5.6 	4.8 	4.4 	3.7 b	3.2 	2.7 	2.7 	2.6 	2.8 
PC,T,Y25-64,ED5-8,LU	2.2 	3.7 b	3.6 	3.5 	3.4 	3.7 	3.6 b	4.6 b	3.8 	3.7 	4.1 	3.4 
PC,T,Y25-64,ED5-8,LV	4.1 	7.4 	10.2 	6.9 	6.2 	5.5 	5.1 b	4.5 	4.0 	3.6 	3.7 	3.6 
PC,T,Y25-64,ED5-8,ME	: 	: 	: 	12.1 	10.0 	8.7 	9.0 b	9.4 	11.5 	10.7 	10.0 	11.0 
PC,T,Y25-64,ED5-8,MK	18.7 	17.9 	19.3 	19.5 	18.8 	20.1 	19.6 b	18.9 	17.6 	17.1 	16.6 	13.3 
PC,T,Y25-64,ED5-8,MT	: u	1.6 u	: u	: bu	1.4 u	1.7 u	2.4 b	1.6 u	1.4 u	1.8 	1.8 	2.7 
PC,T,Y25-64,ED5-8,NL	1.9 	2.5 	2.9 	3.0 	3.2 	3.9 b	3.9 b	3.7 	3.4 	2.8 	2.3 	2.1 b
PC,T,Y25-64,ED5-8,NO	1.3 	1.5 	1.8 	1.6 	1.6 	1.8 	2.1 b	2.5 	3.0 	2.3 	2.2 	2.0 
PC,T,Y25-64,ED5-8,PL	3.1 	3.6 	4.2 b	4.4 	4.9 	5.0 	4.1 b	3.5 	3.0 	2.2 	1.8 	1.8 
PC,T,Y25-64,ED5-8,PT	5.7 	5.6 	6.1 	7.8 b	10.2 	11.4 	8.9 b	8.2 	7.4 	5.7 	4.7 	4.8 
PC,T,Y25-64,ED5-8,RO	1.9 	3.2 	3.7 b	3.6 	4.1 	4.3 	4.7 b	3.5 	2.7 	2.1 	1.8 	1.2 
PC,T,Y25-64,ED5-8,RS	: 	: 	11.9 	14.9 	15.9 	17.2 	14.5 b	14.3 	13.4 	11.8 	10.6 	8.1 
PC,T,Y25-64,ED5-8,SE	3.3 	4.3 	4.5 	4.1 	4.0 	4.0 	4.0 b	4.0 	3.8 	3.9 	3.6 b	3.5 
PC,T,Y25-64,ED5-8,SI	3.1 	3.1 	4.1 	4.7 	5.8 	5.8 	6.0 b	5.7 	6.0 	5.2 	3.6 	3.0 
PC,T,Y25-64,ED5-8,SK	3.0 	3.4 	4.9 	5.3 b	6.0 	6.5 	5.8 b	5.6 	5.1 	3.6 	2.8 	2.3 
PC,T,Y25-64,ED5-8,TR	6.5 	8.1 	7.0 	6.8 	6.7 	6.9 	8.1 b	8.3 	9.3 	9.4 	9.8 	10.6 
PC,T,Y25-64,ED5-8,UK	2.3 b	3.2 	3.4 b	3.7 b	3.7 	3.2 	2.7 b	2.5 	2.6 	2.4 	2.1 	2.0 
